date,code,close,open,high,low,volume
2022-02-07,sh000300,4634.09,4638.575,4672.654,4615.005,14484972000.0
2022-02-08,sh000300,4608.773,4626.437,4626.437,4522.471,15583070800.0
2022-02-09,sh000300,4652.061,4608.149,4659.461,4595.283,14833554700.0
2022-02-10,sh000300,4639.863,4657.211,4657.211,4608.091,15157666600.0
2022-02-11,sh000300,4601.395,4617.874,4662.596,4595.875,15597458400.0
2022-02-14,sh000300,4551.688,4579.42,4593.632,4530.057,14367389400.0
2022-02-15,sh000300,4600.103,4553.811,4601.453,4550.543,11502560000.0
2022-02-16,sh000300,4617.989,4619.846,4643.1,4607.218,10725895500.0
2022-02-17,sh000300,4629.165,4616.896,4650.159,4606.952,11001464300.0
2022-02-18,sh000300,4651.236,4604.567,4651.342,4598.1,10455022800.0
2022-02-21,sh000300,4634.314,4646.052,4646.672,4613.297,11251651200.0
2022-02-22,sh000300,4574.153,4601.918,4602.066,4550.804,12331723700.0
2022-02-23,sh000300,4623.047,4582.006,4625.298,4579.295,12295291600.0
2022-02-24,sh000300,4529.319,4592.069,4610.879,4488.476,18440305800.0
2022-02-25,sh000300,4573.425,4564.632,4611.86,4561.896,14972258300.0
2022-02-28,sh000300,4581.646,4563.743,4581.646,4530.676,13540697800.0
2022-03-01,sh000300,4619.686,4597.855,4623.431,4583.917,12313922000.0
2022-03-02,sh000300,4578.601,4594.017,4594.017,4558.442,11329832500.0
2022-03-03,sh000300,4551.628,4595.025,4599.397,4544.431,13828587700.0
2022-03-04,sh000300,4496.43,4513.364,4539.393,4481.493,12726680600.0
2022-03-07,sh000300,4352.778,4462.517,4462.517,4338.304,16219770600.0
2022-03-08,sh000300,4265.391,4361.642,4383.647,4252.539,16786327700.0
2022-03-09,sh000300,4226.346,4280.979,4304.482,4068.193,19423290000.0
2022-03-10,sh000300,4292.837,4326.204,4335.673,4288.508,14526638300.0
2022-03-11,sh000300,4306.522,4231.196,4316.044,4176.452,15239992100.0
2022-03-14,sh000300,4174.758,4248.153,4280.361,4174.758,13018723600.0
2022-03-15,sh000300,3983.812,4125.487,4163.418,3983.812,20252469900.0
2022-03-16,sh000300,4156.081,4053.099,4168.585,3942.861,19602198200.0
2022-03-17,sh000300,4237.696,4237.672,4302.743,4217.804,17940734400.0
2022-03-18,sh000300,4265.902,4218.474,4283.368,4194.94,14945830500.0
2022-03-21,sh000300,4258.746,4280.14,4287.817,4223.024,12703636000.0
2022-03-22,sh000300,4255.295,4252.566,4283.334,4236.689,12638247000.0
2022-03-23,sh000300,4276.517,4269.609,4287.577,4241.957,11708907800.0
2022-03-24,sh000300,4251.306,4249.533,4273.957,4216.851,10891827200.0
2022-03-25,sh000300,4174.574,4249.073,4254.845,4173.93,10880804600.0
2022-03-28,sh000300,4148.466,4128.838,4174.121,4091.298,11844902100.0
